label_true	label_predicted	Danish	Dutch	English	Finnish	French	German	Hungarian	Italian	Japanese	Korean	Mandarin	Polish	Portuguese	Russian	Spanish	Swedish	Turkish	Estonian	Arabic	Basque	Catalan
Russian	Russian	0.011583505	0.07536023	0.046399485	0.009660156	0.38256586	0.19150947	0.0011995906	0.0989622	0.004610423	0.0011687776	0.0049530356	0.0294879	0.1940642	0.5804231	0.49222443	0.03204419	0.18383521	0.0369819	0.07412713	0.22869816	0.2955874
Polish	Polish	0.0035179683	0.004583251	0.0020816654	0.004607796	0.0031293726	0.008443446	0.0003163265	0.0011960123	0.0016383305	0.037839126	0.0017189438	0.998406	0.009096898	0.0252934	0.0016929583	0.0013522513	0.022833565	0.0009257627	0.018854335	0.00051527336	0.0011368429
Estonian	Spanish	0.0018091472	0.06172084	0.04943295	0.005317704	0.020579515	0.0750272	0.00034741225	0.067594156	0.0010009332	0.000112969734	0.0022523126	0.001363619	0.08115677	0.49932274	0.60979176	0.0075360616	0.011173996	0.41068232	0.00122025	0.023451177	0.43120423
Japanese	Japanese	0.0026922862	0.011917623	0.010487858	0.0049682953	0.024592115	0.0040261853	0.00020212577	0.031355903	0.9978889	0.0046485513	0.023910314	0.003760018	0.010363961	0.011524279	0.022385247	0.008015452	0.012623185	0.0055273767	0.011262871	0.023513412	0.006850124
Italian	Polish	0.20020565	0.10599156	0.1589843	0.04148394	0.20072708	0.09460779	0.062070444	0.09121178	0.06583467	0.06831111	0.03957738	0.7125512	0.18385491	0.38622075	0.07491624	0.34182474	0.16332428	0.012051515	0.08868764	0.020084526	0.03822866
Mandarin	Mandarin	0.052832033	0.04740323	0.102097	0.01457069	0.03064362	0.017692486	0.005144679	0.013888044	0.011918773	0.0681455	0.9873711	0.0037502367	0.025802908	0.015063401	0.008520197	0.044984885	0.008733231	0.00020683999	0.008865918	0.002076247	0.0021551535
Arabic	Swedish	0.0004110617	0.22156885	0.10253858	0.0002784809	0.1440613	0.1547229	0.00049861	0.094071515	0.05564089	0.0005945182	0.030551307	0.0006873767	0.122862495	0.041162934	0.096662335	0.73976684	0.1983755	0.014439556	0.51434624	0.037045028	0.062820144
Hungarian	Hungarian	4.8116595e-05	0.00041914204	0.00032171217	5.6276964e-05	9.9771896e-05	0.000322303	0.99999964	0.000118458905	3.587894e-06	8.99278e-06	9.081368e-06	9.740651e-05	0.00014369552	0.000179178	0.00031340253	0.0003076628	1.1452391e-05	1.8790563e-05	2.630529e-05	0.00014182624	0.00012558089
English	Portuguese	0.044283483	0.17262413	0.43980667	0.004882024	0.08120234	0.063458756	0.0018349043	0.012786598	0.011497726	0.0016999879	0.017071057	0.01077901	0.85639596	0.08908931	0.038787317	0.02427386	0.098134086	0.0041935174	0.0123335	0.009367874	0.1006153
German	Basque	0.0012390997	0.09883151	0.06811449	0.0041059083	0.13734598	0.16684487	0.001140555	0.08214648	0.0069252327	0.0038719338	0.022416878	0.012580373	0.06604298	0.13016942	0.16487971	0.0077967662	0.5860129	0.06754786	0.3562581	0.60747695	0.19729786
